"country","year","gdp","population","gini"
Albania,2006,9767379279.88863,2992547.0,
Albania,2007,10351466806.2388,2970017.0,
Albania,2008,11127823665.7504,2947314.0,30.0
Albania,2009,11500613161.6647,2927519.0,
Albania,2010,11926928505.5231,2913021.0,
Albania,2011,12230507222.1843,2905195.0,
Albania,2012,12403877841.0321,2900401.0,29.0
Albania,2013,12528163103.1195,2895092.0,
Albania,2014,12750473701.7819,2889104.0,34.6
Albania,2015,13033375121.5884,2880703.0,32.9
Albania,2016,13465406059.6498,2876101.0,33.7
Albania,2017,13977387390.5945,2873457.0,33.2
Albania,2018,14546448944.4056,2866376.0,
Andorra,2006,3875142516.24022,80995.0,
Andorra,2007,3935330770.25056,82682.0,
Andorra,2008,3716558398.51518,83860.0,
Andorra,2009,3519475009.94299,84461.0,
Andorra,2010,3449966856.68832,84454.0,
Andorra,2011,3449688452.87021,83748.0,
Andorra,2012,3278085642.31738,82427.0,
Andorra,2013,3161792390.29564,80770.0,
Andorra,2014,3240978390.56079,79213.0,
Andorra,2015,3287458570.8604,77993.0,
Andorra,2016,3409412700.51704,77295.0,
Andorra,2017,3421211719.47501,76997.0,
Andorra,2018,3475566750.62972,77008.0,
Austria,2006,380329113681.259,8268641.0,29.6
Austria,2007,394505559258.526,8295487.0,30.6
Austria,2008,400267011848.042,8321496.0,30.4
Austria,2009,385198647266.611,8343323.0,31.5
Austria,2010,392275107258.667,8363404.0,30.3
Austria,2011,403740513438.199,8391643.0,30.8
Austria,2012,406487747903.707,8429991.0,30.5
Austria,2013,406591421433.927,8479823.0,30.8
Austria,2014,409280100109.633,8546356.0,30.5
Austria,2015,413432253216.039,8642699.0,30.5
Austria,2016,421657228102.472,8736668.0,30.8
Austria,2017,431775262676.529,8797566.0,29.7
Austria,2018,442915585749.024,8840521.0,30.8
Belarus,2006,44266566187.7427,9604924.0,28.3
Belarus,2007,48073493773.2612,9560953.0,29.6
Belarus,2008,52976989868.7029,9527985.0,27.8
Belarus,2009,53082941363.8271,9506765.0,27.7
Belarus,2010,57222490768.7143,9490583.0,28.6
Belarus,2011,60300321142.6581,9473172.0,27.2
Belarus,2012,61317669289.2363,9464495.0,26.5
Belarus,2013,61932974220.8466,9465997.0,26.6
Belarus,2014,63002175707.5323,9474511.0,27.2
Belarus,2015,60589462935.5585,9489616.0,25.6
Belarus,2016,59058702608.9201,9501534.0,25.3
Belarus,2017,60554177331.8333,9498264.0,25.4
Belarus,2018,62461148027.2823,9483499.0,25.2
Belgium,2006,458677622724.361,10547958,28.1
Belgium,2007,475542653709.135,10625700,29.2
Belgium,2008,477667990477.055,10709973,28.4
Belgium,2009,468015547701.557,10796493,28.6
Belgium,2010,481420882905.001,10895586,28.4
Belgium,2011,489578626676.653,11038264,28.1
Belgium,2012,493197676499.208,11106932,27.5
Belgium,2013,495462648324.133,11159407,27.7
Belgium,2014,503283690440.236,11209057,28.1
Belgium,2015,513558020680.56,11274196,27.7
Belgium,2016,520063190330.958,11331422,27.6
Belgium,2017,528496260419.776,11375158,27.4
Belgium,2018,537945351170.51,11427054,27.2
Bosnia and Herzegovina,2006,15729153560.7731,3765422.0,
Bosnia and Herzegovina,2007,16650743291.5849,3762791.0,33.1
Bosnia and Herzegovina,2008,17556851230.7796,3754261.0,
Bosnia and Herzegovina,2009,17029363372.8317,3735945.0,
Bosnia and Herzegovina,2010,17176781336.7644,3705478.0,
Bosnia and Herzegovina,2011,17341594485.6047,3661173.0,33.0
Bosnia and Herzegovina,2012,17199074936.9112,3604972.0,
Bosnia and Herzegovina,2013,17603228545.3329,3542598.0,
Bosnia and Herzegovina,2014,17806343590.1312,3482106.0,
Bosnia and Herzegovina,2015,18356410773.0628,3429362.0,
Bosnia and Herzegovina,2016,18934602269.0509,3386263.0,
Bosnia and Herzegovina,2017,19535100848.8297,3351534.0,
Bosnia and Herzegovina,2018,20265727508.4724,3323929.0,
Bulgaria,2006,45869280338.7161,7601022.0,35.7
Bulgaria,2007,48876966228.4417,7545338.0,36.1
Bulgaria,2008,51851436378.6577,7492561.0,33.6
Bulgaria,2009,50101534229.7147,7444443.0,33.8
Bulgaria,2010,50381825504.2642,7395599.0,35.7
Bulgaria,2011,51568094264.4734,7348328.0,34.3
Bulgaria,2012,51751979375.9177,7305888.0,36.0
Bulgaria,2013,51920571507.3287,7265115.0,36.6
Bulgaria,2014,52899515523.1699,7223938.0,37.4
Bulgaria,2015,55010127749.7693,7177991.0,38.6
Bulgaria,2016,57111753665.4351,7127822.0,40.6
Bulgaria,2017,59112236490.8388,7075947.0,40.4
Bulgaria,2018,60940251461.1954,7025037.0,41.3
Croatia,2006,61197075793.9092,4311159.0,
Croatia,2007,64298314188.4647,4310217.0,
Croatia,2008,65515772483.174,4309705.0,
Croatia,2009,60717700435.3099,4305181.0,32.6
Croatia,2010,59918313669.1671,4295427.0,32.4
